					Demand	Demand**2	Avg. Demand	Avg. Demand**2
				18-Mar	2.494809913	6.224076503	3.777353631	15.8023952
				19-Mar	2.480013219	6.150465566	3.777353631	15.8023952
				20-Mar	2.481084293	6.155779271	3.777353631	15.8023952
				21-Mar	2.44911074	5.998143415	3.777353631	15.8023952
				22-Mar	2.450142145	6.003196529	3.777353631	15.8023952
				23-Mar	2.457560326	6.039602758	3.777353631	15.8023952
				24-Mar	2.457163632	6.037653116	3.777353631	15.8023952
				25-Mar	2.457044624	6.037068284	3.777353631	15.8023952
				26-Mar	2.465375202	6.078074889	3.777353631	15.8023952
				27-Mar	2.485646277	6.178437413	3.777353631	15.8023952
				28-Mar	2.476561979	6.133359237	3.777353631	15.8023952
				29-Mar	2.466803302	6.085118529	3.777353631	15.8023952
				30-Mar	2.438717351	5.947342319	3.777353631	15.8023952
				31-Mar	2.427292558	5.891749162	3.777353631	15.8023952
				1-Apr	2.410631401	5.811143751	3.777353631	15.8023952
				2-Apr	2.417692558	5.845237305	3.777353631	15.8023952
				3-Apr	2.391986773	5.721600721	3.777353631	15.8023952
				4-Apr	2.385004955	5.688248634	3.777353631	15.8023952
				5-Apr	2.376793384	5.649146792	3.777353631	15.8023952
				6-Apr	2.377547103	5.652730229	3.777353631	15.8023952
				7-Apr	2.36271074	5.58240204	3.777353631	15.8023952
				8-Apr	2.359656194	5.567977356	3.777353631	15.8023952
				9-Apr	2.377626442	5.653107499	3.777353631	15.8023952
				10-Apr	2.404958674	5.783826222	3.777353631	15.8023952
				11-Apr	2.426142145	5.886165706	3.777353631	15.8023952
				12-Apr	2.420469417	5.858672201	3.777353631	15.8023952
				13-Apr	2.408251236	5.799674014	3.777353631	15.8023952
				14-Apr	2.419358674	5.853296392	3.777353631	15.8023952
				15-Apr	2.44633388	5.984549453	3.777353631	15.8023952
				16-Apr	2.43538512	5.931100682	3.777353631	15.8023952
				17-Apr	2.443080988	5.968644712	3.777353631	15.8023952
				18-Apr	2.46140826	6.058530624	3.777353631	15.8023952
				19-Apr	2.469104128	6.096475195	3.777353631	15.8023952
				20-Apr	2.471960326	6.110587855	3.777353631	15.8023952
				21-Apr	2.466803302	6.085118529	3.777353631	15.8023952
				22-Apr	2.490763632	6.203903471	3.777353631	15.8023952
				23-Apr	2.519325616	6.347001557	3.777353631	15.8023952
				24-Apr	2.550664459	6.50588918	3.777353631	15.8023952
				25-Apr	2.598664458	6.753056968	3.777353631	15.8023952
				26-Apr	2.623021483	6.880241701	3.777353631	15.8023952
				27-Apr	2.629130574	6.912327576	3.777353631	15.8023952
				28-Apr	2.661976855	7.086120777	3.777353631	15.8023952
				29-Apr	2.689586772	7.233877006	3.777353631	15.8023952
				30-Apr	2.748416524	7.553793391	3.777353631	15.8023952
				1-May	2.808674375	7.888651747	3.777353631	15.8023952
				2-May	2.878770243	8.287318112	3.777353631	15.8023952
				3-May	2.964813218	8.790117419	3.777353631	15.8023952
				4-May	3.016264458	9.097851279	3.777353631	15.8023952
				5-May	3.053910739	9.3263708	3.777353631	15.8023952
				6-May	3.081163631	9.493569322	3.777353631	15.8023952
				7-May	3.151497515	9.931936589	3.777353631	15.8023952
				8-May	3.232185119	10.44702064	3.777353631	15.8023952
				9-May	3.273282639	10.71437924	3.777353631	15.8023952
				10-May	3.328383465	11.07813649	3.777353631	15.8023952
				11-May	3.393282639	11.51436707	3.777353631	15.8023952
				12-May	3.418353713	11.68514211	3.777353631	15.8023952
				13-May	3.443980159	11.86099934	3.777353631	15.8023952
				14-May	3.491662804	12.19170914	3.777353631	15.8023952
				15-May	3.547914044	12.58769406	3.777353631	15.8023952
				16-May	3.609084291	13.02548942	3.777353631	15.8023952
